"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.658747120E-1,4.905000329E-2,1.050000042E-1,9.750000000E0
6.678630970E-1,2.505000122E-2,9.495000541E-2,9.759000778E0
6.698516350E-1,3.900000080E-2,1.140000075E-1,9.771000862E0
6.718400200E-1,3.705000132E-2,9.495000541E-2,9.759000778E0
6.738285390E-1,2.505000122E-2,1.050000042E-1,9.781050682E0
6.758168470E-1,3.195000067E-2,8.805000782E-2,9.766950607E0
6.778054620E-1,2.505000122E-2,9.795000404E-2,9.762000084E0
6.797938470E-1,2.505000122E-2,8.295000345E-2,9.769050598E0
6.817821540E-1,3.195000067E-2,8.595000207E-2,9.750000000E0
6.837706930E-1,2.505000122E-2,9.300000221E-2,9.754950523E0
6.857592890E-1,3.000000119E-2,7.800000161E-2,9.762000084E0
6.877475970E-1,2.505000122E-2,7.605000585E-2,9.754950523E0
6.897359820E-1,3.900000080E-2,8.805000782E-2,9.742950439E0
6.917245200E-1,3.000000119E-2,7.605000585E-2,9.750000000E0
6.937129050E-1,2.505000122E-2,8.595000207E-2,9.730950356E0
6.957014430E-1,2.205000073E-2,5.895000324E-2,9.742950439E0
6.976897560E-1,2.505000122E-2,8.100000024E-2,9.736050606E0
6.996783710E-1,2.505000122E-2,8.295000345E-2,9.724050522E0
7.016667560E-1,1.995000057E-2,5.700000376E-2,9.718950272E0
7.036550640E-1,3.405000269E-2,9.495000541E-2,9.733050346E0
7.056436020E-1,2.505000122E-2,7.605000585E-2,9.742950439E0
7.076319870E-1,7.950000465E-3,7.800000161E-2,9.739950180E0
7.096205390E-1,1.800000109E-2,6.900000572E-2,9.750000000E0
7.116089240E-1,1.005000062E-2,7.800000161E-2,9.751950264E0
7.135972310E-1,2.205000073E-2,6.599999964E-2,9.747000694E0
7.155858470E-1,1.800000109E-2,6.405000389E-2,9.754950523E0
7.175743850E-1,2.205000073E-2,7.395000011E-2,9.747000694E0
7.195626930E-1,1.305000018E-2,7.395000011E-2,9.750000000E0
7.215510780E-1,-4.950000439E-3,7.800000161E-2,9.769050598E0
7.235396930E-1,1.800000109E-2,6.599999964E-2,9.757050514E0
7.255280010E-1,1.050000079E-3,7.605000585E-2,9.759000778E0
7.275165390E-1,1.005000062E-2,7.395000011E-2,9.769050598E0
7.295049240E-1,3.000000026E-3,6.599999964E-2,9.762000084E0
7.314934620E-1,3.000000026E-3,7.605000585E-2,9.759000778E0
7.334818470E-1,7.950000465E-3,6.599999964E-2,9.747000694E0
7.354703850E-1,1.305000018E-2,7.095000148E-2,9.762000084E0
7.374587700E-1,0.000000000E0,8.295000345E-2,9.759000778E0
7.394473080E-1,1.050000079E-3,6.405000389E-2,9.763950348E0
7.414356160E-1,3.000000026E-3,8.805000782E-2,9.781050682E0
7.434240010E-1,6.000000052E-3,6.405000389E-2,9.759000778E0
7.454126350E-1,1.305000018E-2,8.100000024E-2,9.757050514E0
7.474009430E-1,7.950000465E-3,5.895000324E-2,9.754950523E0
7.493894810E-1,6.000000052E-3,6.405000389E-2,9.763950348E0
7.513777890E-1,1.995000057E-2,6.900000572E-2,9.769050598E0
7.533664040E-1,1.005000062E-2,6.599999964E-2,9.762000084E0
7.553547890E-1,7.950000465E-3,6.599999964E-2,9.766950607E0
7.573430870E-1,1.995000057E-2,4.500000179E-2,9.771000862E0
7.593316250E-1,2.205000073E-2,5.700000376E-2,9.774000168E0
7.613202410E-1,1.800000109E-2,5.895000324E-2,9.771000862E0
7.633085480E-1,2.505000122E-2,6.599999964E-2,9.754950523E0
7.652969330E-1,3.195000067E-2,4.695000127E-2,9.769050598E0
